Creator,SwallowIDs,URLs
"Alduwaisan, Rasha",13573,
"Aleck, Echo",13844,
"Aleman, Daniel",8461,
"Alexander, David",8231,http://viaf.org/viaf/8150565683106252769
"Alexander, Susan",11894; 13480; 13487; 13494; 13495; 13504; 13513; 8397; 8667,http://viaf.org/viaf/2568149108446368780004; http://viaf.org/viaf/272764914; http://viaf.org/viaf/2907152932544309830002
"Alexander, Susanne",9798,
"Alexis, André",10477; 10975; 12817; 7918; 8979,"http://viaf.org/viaf/10107885; http://viaf.org/viaf/3468148269770005230007; https://viaf.org/viaf/10107885/#Alexis,_Andr%C3%A9,_1957-"
"Alfa, Ismaila",12682,
"Alhamaydeh, Haytham",13628,
"Alhjooj, Anwar",13961,
"Ali, Ahmed",11488; 9125,
"Ali, Elham",8834,
"Ali, Irfan",10322; 8404; 8732,http://viaf.org/viaf/17157581684233782131
"Ali, Kazim",12325; 9451; 9501; 9800,"http://viaf.org/viaf/38781007; https://viaf.org/viaf/38781007/#Ali,_Kazim,_1971-"
"Ali, Mohammed Abdulkarim",8450,
"Alicia, Jennifer",10391; 13818,
"Alidio, Kimberley",12108,http://viaf.org/viaf/70147662946260550997
"Alimchandani, Meenakshi",10690,
"Alkinani, Zeidon",12347,
"Alland, Sandra",10540,"https://viaf.org/viaf/51363630/#Alland,_Sandra,_1973-"
"Allard-Will, Mark",10662,http://viaf.org/viaf/13162781484465982581
"Allemano, Marina",13917,http://viaf.org/viaf/27118067
"Allen, Colleen",8740, http://viaf.org/viaf/79762490
"Allen, Jayne",13342,http://viaf.org/viaf/58160208800848622312
"Allen, Jess",12519; 13377,
"Allen, Jessica",12507; 12708; 8885,http://viaf.org/viaf/4118149108458468780002
"Allen, Lillian",10326; 13658; 13746,http://viaf.org/viaf/33686390
"Allen, Meghan Rose",8269,http://viaf.org/viaf/12151654746408282524
"Allen, Noelle",9466; 9467; 9474; 9475,
"Allen, Norman",9879,
"Allen-Shore, Lena",12922,http://viaf.org/viaf/30907004
"Allende, Isabel",12911; 9365,http://viaf.org/viaf/61556825
"Alleyne, Ainara",12393; 12395; 12397,
Allie,13884,
"Allin, Gwyn",9115,
"Allison, Thom",8797,
"Allore, John",10699; 9010,http://viaf.org/viaf/12158628234122921855
"Alluri, Hari",13633; 8230; 8437; 8575; 9844,http://viaf.org/viaf/124154981757967740645
"Alnuaimi, Hoor Ali",13573,
"Aloisio, Anita",10041; 10045; 10068; 10078,http://viaf.org/viaf/102878807
"Alook, Alyssa",11559,
"Alook, Angele",10849,http://viaf.org/viaf/9165135660600301677
"Alstad, Colleen",8374,
AltogetherLisa,13814; 13831,
"Altrows, Rona",10047; 12371; 12581; 9071; 9930,http://viaf.org/viaf/16976076
"Alwani, Sami",10237; 10522; 12426,"http://viaf.org/viaf/28160544698409982917; https://viaf.org/viaf/28160544698409982917/#Alwani,_Sami"
"Aly, Hatem",9655,"https://viaf.org/viaf/92147663044360551745/#Aly,_Hatem"
Alyssa,12500,
Alzati Stefani,10107,
"Alzati, Stefani",10108,
"Aman, Tahmima",13014,
Amani,13577,
"Amdemichael, Hannah",8834,
"Ammendolea, Dominique",8222,
"Amos, Robert",9259,http://viaf.org/viaf/94345708
"Anand, Anita",8252,http://viaf.org/viaf/314894296
"Anand, Madhur",10477; 11640; 8321; 8802; 9374,"http://viaf.org/viaf/102887482; https://viaf.org/viaf/102887482/#Anand,_Madhur,_1971-"
Ananda,10534,
"Anaquod, Courtney-Dawn",13049,
"Anastasiou, Mel",10278; 10281; 10283; 10284; 10285; 10286; 10287,http://viaf.org/viaf/64149841848602841271
"Anctil, Pierre",12890,http://viaf.org/viaf/94277635
"Anders, Charlie Jane",11705,http://viaf.org/viaf/26466367
"Andersen, Sarah",8611,http://viaf.org/viaf/189146094330700332367
"Anderson, Caroline",10402; 10591,http://viaf.org/viaf/5535161211922340070004
"Anderson, Colleen",10286; 10287,http://viaf.org/viaf/106244747
"Anderson, Emily",11946,
"Anderson, Fortner",8180,http://viaf.org/viaf/106026246
"Anderson, Suzanne",11886,http://viaf.org/viaf/1793493
"Anderson-Dargatz, Gail",11295; 11298; 13483,"http://viaf.org/viaf/61710472; https://viaf.org/viaf/61710472/#Anderson-Dargatz,_Gail,_1963-"
"Andrada, Eunice",8159,http://viaf.org/viaf/32156856239349600733
"Andres Reed, Nicasio",8293,
"Andrew, Suzanne Alyssa",10870,"https://viaf.org/viaf/310611434/#Andrew,_Suzanne_Alyssa"
"Andrews, Kelsey",11620,http://viaf.org/viaf/17163023641289361304
"Andrews, V.C.",13377,http://viaf.org/viaf/275755442
"Andrusyshyn, Larissa",7963; 8295,http://viaf.org/viaf/120416186
"Angus, Cal",10339,
"Angus, Callum",13933; 8496; 9860,http://viaf.org/viaf/12161096551829101530
"Anipare, Sifton",10327,http://viaf.org/viaf/24160422952768031219
"Anipare, Sifton Tracey",10477,"https://viaf.org/viaf/24160422952768031219/#Anipare,_Sifton_Tracey"
Annie,13887,
"Anqele, Delshan",11027,
"Ansari, Saleem",12742; 12743; 13688; 13800,
"Ansloos, Jeffrey",8982,http://viaf.org/viaf/814991245480621110
"Anslow, Alannah",10920,
"Anthony, Carlos",13911; 13915,
"Anthony, Leslie",11226; 11258; 11294,"https://viaf.org/viaf/96866333/#Anthony,_Leslie,_1957-...."
"Antipolo, Veronica",13888,
"Antle, Angela",9050,http://viaf.org/viaf/7154257773824150118
"Antoine-Meyzonnade, Cécile",11860,
"Antoniou, Helen",13943; 13965,http://viaf.org/viaf/1152561524815442003
"Antoniou, Laura",8446,http://viaf.org/viaf/271149196249774790031
"Antony, Jessica",11029; 11030; 11031; 11032,"https://viaf.org/viaf/50149233262776510380/#Antony,_Jessica"
"Antwi, Phanuel‏",10098,http://viaf.org/viaf/595146936821313782712
"Aoki, Ryka",11705,http://viaf.org/viaf/1829156811368645390005
"Apol, Lauara",11606,http://viaf.org/viaf/33832503
Apollo the Child,13712; 13727; 13730; 13749; 13751; 13753,
"Apostol, Gina",12671,http://viaf.org/viaf/53749929
"Appanah, Nathacha",13937,http://viaf.org/viaf/24821535
"Applegate, Katherine",9624,"https://viaf.org/viaf/2072149368877985980007/#Applegate,_Katherine,_1956-"
"Aquino, Eloisa",9840,"http://viaf.org/viaf/250064135/#Aquino,_Eloisa,_1970-"
"Aragon, Andrea",8928; 9295,http://viaf.org/viaf/21158367578201280525; http://viaf.org/viaf/44077624
"Arbuckle, Michelle",9050,
"Arbuthnott, Shane",10647,http://viaf.org/viaf/21147118212526341495
"Arcand, Faye",12580,
"Arcand, John",13049,http://viaf.org/viaf/41519146
"Archer, Bert",8938,http://viaf.org/viaf/18461323
"Arends, Carolyn",14138,http://viaf.org/viaf/23376520
"Arif, Samya",13640,
"Arima, Phlip",9879,http://viaf.org/viaf/16544531
"Arkorful, Faith",8525,
"Arlotto, Rosa",9581; 9608; 9619; 9706; 9712; 9722; 9725; 9733; 9772; 9897; 9906,
"Arluk, Reneltta",10246; 10248; 13147; 8957,http://viaf.org/viaf/232152939
"Armantrout, Rae",7923,http://viaf.org/viaf/311461552
"Armerding, Elizabeth",13641,
"Armstrong, Sally",10369,http://viaf.org/viaf/264927214
"Arnett, Kristen",13008,http://viaf.org/viaf/2210157226593285410003
"Arnott, Bill",10851; 11823; 13625; 8605,http://viaf.org/viaf/106524390
"Arnott, Joanne",13460; 13630; 8648; 8668,http://viaf.org/viaf/43520433
"Aronoff, Kate",10098; 13349,http://viaf.org/viaf/2156674978633581601
"Aronoff, Phyllis",10696; 8557,http://viaf.org/viaf/68540095
"Aronyk-Schell, Morgyn",9053,
"Arrow, Emily",11421,http://viaf.org/viaf/95146331823118690891
"Arsenault, Elise",9379,
"Arsenault, Marc",10386,
"Arthur, Bruce",10477,
"Arthur, Paul Michael",13831,
"Arthurson, Wayne",11118; 9392,"http://viaf.org/viaf/38765557; https://viaf.org/viaf/38765557/#Arthurson,_Wayne,_1962-...."
"Arudpragasam, Anuk",13010,http://viaf.org/viaf/20146936671213780921
"Aryal, Khem K.",11464,"https://viaf.org/viaf/56338964/#Aryal,_Khem"
"Ashby, Madeline",12568,http://viaf.org/viaf/311397379
"Ashenburg, Katherine",10208; 10333,http://viaf.org/viaf/75626353
"Ashley, Marlet",13506,
"Ashton, Jenn",11223; 11899; 9827,"http://viaf.org/viaf/1275159474250327661297; https://viaf.org/viaf/1275159474250327661297/#Ashton,_Jenn,_1963-"
"Asrani, Aaniya",9831,http://viaf.org/viaf/42156495481317562412
"Asselin, Guillaume",13954; 13991,http://viaf.org/viaf/65924517
"Assenza, Valentino",9706,http://viaf.org/viaf/53917380
"Aswany, Alaa Al",13344,http://viaf.org/viaf/69184887
"Athaide, Tina",8809; 8939,http://viaf.org/viaf/39152864082204821280
"Atkinson, Cale",11409; 11410; 11411,http://viaf.org/viaf/256453310
"Atkinson, Nathalie",10337; 12615,http://viaf.org/viaf/18157467916522322085
"Atkinson, Susan",8262,http://viaf.org/viaf/106742059
"Attrell, Chris",12367,http://viaf.org/viaf/53155767329627761132
"Atwood, Margaret",10596; 12461; 8537; 8739; 8797; 9051; 9376; 9422; 9679,http://viaf.org/viaf/109322990
"Aubin, Mathieu",12238; 12577; 12797; 12799; 12800; 12827; 13962,
Audder,9081,
"Audet, Martine",11671; 13610; 13982; 8272,http://viaf.org/viaf/8470429
"Audlaluk, Larry",11643; 11644,http://viaf.org/viaf/27158912151049770543
"Audrain, Ashley",11653; 12677; 9846,http://viaf.org/viaf/7621158070730108780004
"Auger, Karrie",9479,
"Augustine, Jude Marie",8265,
"Augustine, Judy Marie",10386,
"Aujlay, Kirthan",10528; 8453,
"Austen, Catherine",11430,http://viaf.org/viaf/102871387
"Austin, Emily R.",9449,http://viaf.org/viaf/20162478725337460885
"Austria, Jennilee",10042; 9015,
"Authier, Phil",12795,
"Authier, Philip",12820,
"Auxier, Jonathan",12383; 12809,http://viaf.org/viaf/166139844
"Avasilichioaei, Oana",13921; 8190; 8199; 8207; 8209; 8242; 8243; 9495,http://viaf.org/viaf/58498867
"Avasilichoaei, Oana",10078,
"Averett, Bronwyn",10289,
"Avery, CR",13769,http://viaf.org/viaf/102892387
"Avery, Morgan",13644,
"Avisilichioaei, Oana",13951,
Avleen Mokha,16085,http://viaf.org/viaf/3415169757872508010008
"Awad, Mona",9298; 9387; 9481,http://viaf.org/viaf/106556334
"Aweida, Ghia",8648,http://viaf.org/viaf/29151110692437060936
"Awkward-Rich, Cameron",10896; 9941,http://viaf.org/viaf/40146331768918690134
"Awumey, Edem",8557,http://viaf.org/viaf/10128923
Axis,10982; 12725,
"Ayache, Makram",10584,
"Ayed, Nahlah",13344; 13367,http://viaf.org/viaf/232220670
"Ayoub, Joey",12347,http://viaf.org/viaf/4156153834751664450002
Aysanabe,13891,
Aysanabee,13893,
"Azad, Bahareh",9565,
"Azad, Nafiza",13399,http://viaf.org/viaf/28154196801520112373
"Azadi, Anushka",9120,
"Azar, Shokoofeh",8741; 8799,http://viaf.org/viaf/20158125161214932717
"Aziz, Ammar",13642,
"Aziz, Zohal",10477,
"B, Daphné",11918,
"B-E, Lindsay",8242; 8407,http://viaf.org/viaf/101158669739727200555
"B. Elfgren, Sara",8257, http://viaf.org/viaf/170358247
"B., Britta",13910; 8990; 9026,
"B., Daphné",10288; 13934,http://viaf.org/viaf/51145541819096601716; http://viaf.org/viaf/56153124304424491231
"B.-e., Lindsay",10477; 8723; 8732,"http://viaf.org/viaf/101158669739727200555; https://viaf.org/viaf/101158669739727200555/#B.-e.,_Lindsay,_1981-"
"Babcock, Heather",8729; 8854,http://viaf.org/viaf/27158427949606062107
"Babiak, Todd",10964,http://viaf.org/viaf/70160548
"Babin, Miléna",10073,http://viaf.org/viaf/308227269
"Babstock, Ken",8259,http://viaf.org/viaf/46100839
"Babyn, André",10379,"http://viaf.org/viaf/57156130972958312044/#Babyn,_Andr%C3%A9_1986-"
"Backman, Fredrik",9396,http://viaf.org/viaf/257702201
"Bacon, Joséphine",13131; 13142; 13147; 13154; 13162; 13164; 13175; 13923,http://viaf.org/viaf/102759360
"Bacon, Katia",13166,http://viaf.org/viaf/9168286129457270690
"Bacon, Uasheshkun",13153,
"Baddiel, David",11714,"https://viaf.org/viaf/15504916/#Baddiel,_David,_1964-"
"Baden, Morgan",10376,"http://viaf.org/viaf/15154380961530291232/#Baden,_Morgan"
"Badoa, Samantha",11945,
"Badour, Britta",12683; 9379,http://viaf.org/viaf/10166290087200461061
"Baer, Larry",8837,
"Bagel, Zev",8269,
"Bagoo, Andre",11673,http://viaf.org/viaf/250755782
"Bagusche, Frauke",13036,http://viaf.org/viaf/3077156075620453980009
"Bah, Valérie",13935,http://viaf.org/viaf/10161878878933610226
"Bahraini, Naseem",13749,
"Baht, Shashi",11163,
"Baig, Bilal",8956,http://viaf.org/viaf/616158790543938850511
"Bailey Nurse, Donna",12505; 8929,http://viaf.org/viaf/38056529
"Bailey, Barry",10170,https://www.baileybookman.com/
"Bailey, Clayton",8607,http://viaf.org/viaf/48053611
"Bailey, Garvia",10131; 12502; 12510; 12735; 8477,https://www.wikidata.org/wiki/Q111033796
"Bailey, Linda",11404,http://viaf.org/viaf/11560287
"Bailey, Lynda",8357,
"Bailey, Mathis",11760,
"Bailey, Morris",13603,
"Bailey, Samantha",9371,http://viaf.org/viaf/1986160909245312870007
"Bailey, Samantha M.",8944,http://viaf.org/viaf/48156130958058311719
"Bailey, Tessa",9662,"https://viaf.org/viaf/3150516473103440411/#Bailey,_Tessa"
"Bailhache, Léonore",10386,
"Baillie, Martha",13665; 9330; 9513,http://viaf.org/viaf/79477105
"Baird, Natalie",11969,"https://viaf.org/viaf/110148704282036932869/#Baird,_Natalie"
"Baker, Carleigh",10428,"http://viaf.org/viaf/399148996133759752789/#Baker,_Carleigh."
"Baker, Emilie Zoey",8188,
"Baker, Jacqueline",10138; 10200,http://viaf.org/viaf/39061108
"Baker, Marie Annharte",13127; 13155,http://viaf.org/viaf/36969605
"Baker, Zachary M",12946,http://viaf.org/viaf/9553159478086427990008
"Bala, Sharon",10766; 12400; 8808,http://viaf.org/viaf/28146634515241932848
"Balachandran, Tharani",13820,
"Balasa, Raluca",11445; 11452,http://viaf.org/viaf/1163408940100092724
"Balasa, Raluca,",11446,http://viaf.org/viaf/1163408940100092724
"Ball, Erin",9604,
"Ball, Hilary",10294,http://viaf.org/viaf/11610356
"Ball, Jonathan",12261; 13229; 8285,http://viaf.org/viaf/63463752
"Ballantyne, Sonya",12293,https://www.wikidata.org/wiki/Q72882409
"Baltazar, Jason",8294,
"Bancheri, Salvatore",11781,http://viaf.org/viaf/43414944
"Bandukwala, Manahil",10042; 10288; 10753; 11540; 11678; 12095; 13650; 7923; 8163; 8284; 8435; 9015,"http://viaf.org/viaf/13165392151521250897; https://viaf.org/viaf/13165392151521250897/#Bandukwala,_Manahil"
"Bangs, Elly",8290,
"Baniahmadi, Baharan",12053,http://viaf.org/viaf/12164354682613002005
"Banks, Catherine",10230,http://viaf.org/viaf/31475020
"Banks, Russell",9364,http://viaf.org/viaf/66487364
"Banzhaf, Sofia",8227,http://viaf.org/viaf/1151533707002772609
"Bar, Moni",11652,
"Bar-el, Dan",11395,http://viaf.org/viaf/76267388
"Barakat, Hoda",13949,http://viaf.org/viaf/39364872
"Baranova, Ivanna",8227, http://viaf.org/viaf/20156809535545122000
"Barber, Marsha",9722,http://viaf.org/viaf/172067995
"Barbour, Dale",12396,http://viaf.org/viaf/160196080
"Barclay, Adèle",8227; 8245; 9889,http://viaf.org/viaf/18150516542503440276; http://viaf.org/viaf/3115051675800344297; http://viaf.org/viaf/31150516758003442975
"Barclay, Linwood",11298; 12758; 8913; 9367; 9516; 9856,"http://viaf.org/viaf/79565604; https://viaf.org/viaf/79565604/#Barclay,_Linwood,_1955-...."
"Bardeesy, Karim",13356,
"Bardugo, Leigh",8585,http://viaf.org/viaf/261747914
"Barduhn, Rachel",13915,
"Barger, Inali",13829,
"Barger, John Wall",9063; 9913; 9925,http://viaf.org/viaf/102897797
"Barillaro, Ali",8178,
"Barker, Keith",9552; 9553,"http://viaf.org/viaf/293177820/#Barker,_Keith_(Keith_Norman_Victor)"
"Barker, Michelle",13500; 8655,http://viaf.org/viaf/303105122
"Barkon, Beverly",8254,
"Barlett, Brian",8269,
"Barlow, Janet",9805,"https://viaf.org/viaf/106414026/#Barlow,_Janet,_1973-"
"Barlow, Maude",10477,"https://viaf.org/viaf/69145472/#Barlow,_Maude."
"Barnes, Sydney",11387,"https://viaf.org/viaf/4755159279146108160003/#Barnes,_Sydney"
"Barnett, Nathanya",9379,
"Barnier, Vannessa",10294; 10477,
"Baroud, Nathalie",13960,http://viaf.org/viaf/316997541
"Barratt, Jessica",13627,
"Barrett, Colin",8804,http://viaf.org/viaf/305372051
"Barrett, Gavin",10690; 10692; 13649; 13650; 13652; 13653; 13654; 13655; 13656; 13657; 9686; 9735,http://viaf.org/viaf/109147423003544881355
"Barris, Ted",9551,http://viaf.org/viaf/91543343
"Barry, Paddy",9674,
"Barryman, Romila",10411,
"Barss, Kate",13663,
"Bartel, Tanja",11028; 9786; 9787; 9788,"https://viaf.org/viaf/6156917172254792220/#Bartel,_Tanja,_1964-"
"Bartlett, Andrew",12674,
"Bartlett, Brian",10792; 12674; 12691; 8172,http://viaf.org/viaf/2796609
"Barton, John",10967; 8206; 8377; 8390; 8421; 8614; 8615; 8918,http://viaf.org/viaf/94378466
"Barton, Phoebe",8253,
"Bartzen, Della",13075,
"Barwin, Gary",10006; 10183; 11014; 11582; 11717; 11968; 12089; 12108; 12943; 13670; 13673; 9433; 9473; 9488; 9563; 9998,"http://viaf.org/viaf/1630902; https://viaf.org/viaf/1630902/#Barwin,_Gary"
"Basbous, Sami",10359,
"Bascaramurty, Dakshana",10005; 11218; 11223; 11255; 8662; 9373,"http://viaf.org/viaf/69156563397023240753; https://viaf.org/viaf/69156563397023240753/#Bascaramurty,_Dakshana"
"Basile, Elena",13921; 13929; 8209; 8460,http://viaf.org/viaf/144145541804096601105
"Bassnett, Madeline",13664,http://viaf.org/viaf/186912904
"Bastedo, Jamie",11879,"https://viaf.org/viaf/67939118/#Bastedo,_Jamie,_1955-"
"Batalion, Judy",12735,http://viaf.org/viaf/2212007
"Batalion, Julie",12919,http://viaf.org/viaf/2282162783903866280009
"Bateman, David",11764; 8177; 8189; 9121,http://viaf.org/viaf/236624223
"Bateman, Debbie",9071,
"Bateman, Jackie",12436,
"Bates, Margo",8698,
"Bathory, Laakkuluk Williamson",10247,http://viaf.org/viaf/11154257784224150266
"Baudot, Laure",8850,http://viaf.org/viaf/5151654660008281329
"Bauer, Grace",12674,
"Bauer, John",12674,
"Bayne, Clarence",9894,http://viaf.org/viaf/102760780
"Bayron, Kalynn",8526,http://viaf.org/viaf/14157641010038221421
"Bean, Lexie",9720,http://viaf.org/viaf/314909385
"Bear, Tracy",12761; 13038,http://viaf.org/viaf/25163753508734271462
"Bearhead, Charlene",13443,http://viaf.org/viaf/433155104041376202648
"Bearhead, Wilson",13443,"https://viaf.org/viaf/428155104006476201746/#Bearhead,_Wilson,_1958-"
Beatriz Carvalho,9334,http://viaf.org/viaf/6495160486123105180007
"Beattie, Stephen W.",8919,
"Beattie, Steven W.",13969; 9373; 9383,http://viaf.org/viaf/106709254
"Beaucage, Marjorie",12957,http://viaf.org/viaf/2370050
"Beauchesne, Nicholas",12527,
"Beaudry, Nicole",10376; 12917; 12938; 12947; 12950,
"Beaulieu, Derek",12092; 13661; 9112,http://viaf.org/viaf/71021369
"Beaulieu, Germaine",13982,http://viaf.org/viaf/65119376
"Beauregard, Alexandrine Capolla",13990,
"Beavington, Lee",8667,
"Bebenek, Jessica",8224; 9004,
"Bechdel, Alison",7967; 8590,http://viaf.org/viaf/114843374
"Bechtel, Greg",11088,"https://viaf.org/viaf/305442234/#Bechtel,_Greg,_1971-"
"Becker, Helaine",10392,"http://viaf.org/viaf/157149066572865601626/#Becker,_Helaine,_1961-"
"Beckford, Darynell",13915,
"Beckman,  Thomas",10586,
"Beckman, Joshua",12114,http://viaf.org/viaf/73444419
"Beddia, Lea",8345,
"Bednar, Vass",12520; 12762; 12997; 13003; 13013; 13018; 13019; 13030; 13385,
"Beecroft, Joan",13319,
"Beers, Shaindel",12104,http://viaf.org/viaf/86366715
"Begamudré, Ven",10634,http://viaf.org/viaf/23249178
"Bejerman, Ingrid",13938; 13942; 13950; 13955; 13970; 13974; 13983; 13992,
"Beladi, Tara",8652,
"Belcourt, Billy-Ray",8512; 8798; 9374; 9395; 9479; 9861,"http://viaf.org/viaf/26150030625510960554; https://viaf.org/viaf/26150030625510960554/#Belcourt,_Billy-Ray"
"Belcourt, Louise",8189,http://viaf.org/viaf/309814813
"Belford, Ken",12107,http://viaf.org/viaf/8961892
"Bell, Barbara",12821; 9514,"http://viaf.org/viaf/106510111/#Bell,_Barbara"
"Bell, Jillian",12978,
"Bell, Jocelyn",9277,
"Bell, Kanaar",10769,
"Bell, Melanie",8269,http://viaf.org/viaf/106557532
"Bell, Vanessa",11677; 13158; 13164,http://viaf.org/viaf/4483162669325255500002
"Bell, Wade",10037,http://viaf.org/viaf/2168148
"Bellatín, Mario",12686,http://viaf.org/viaf/42007121
"Belle, Kimberly",9626,"https://viaf.org/viaf/310724733/#Belle,_Kimberly,_1968-"
"Belleau, Janick",8244,http://viaf.org/viaf/9029945
