SwallowID,address,latitude,longitude
7886,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7913,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
7914,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
7918,"80 bpNichol Lane, Toronto, Ontario, M5S 3J4, Canada",43.666170,-79.400360
7923,"80 bpNichol Lane, Toronto, Ontario, M5S 3J4, Canada",43.666170,-79.400360
7931,"80 bpNichol Lane, Toronto, Ontario, M5S 3J4, Canada",43.666170,-79.400360
7937,"80 bpNichol Lane, Toronto, Ontario, M5S 3J4, Canada",43.666170,-79.400360
7955,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49524405,-73.57849928292674
7956,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7961,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7963,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7964,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7965,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
7966,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8151,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8152,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8154,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8155,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8156,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8157,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8158,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8159,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8160,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8161,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8162,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8163,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8164,"Ottawa, Ontario, Canada",45.4211060,-75.6903080
8165,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8166,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8167,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8168,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8169,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8170,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8172,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8175,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8176,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8177,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8178,"873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8179,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8180,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8181,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8183,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8184,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8185,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8186,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8187,"1915 rue Sainte-Catherine ouest Montreal, QC, H3H 1M3, Canada",45.49253,-73.58068
8188,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8189,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
8190,"4873 St Laurent Blvd, Montreal, QC H2T 1R6",45.520519,-73.587341
